Vernier Format 2
stanice2.txt 5/13/2018 7:28:27
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%	

0	20.02	
1	19.99	
2	19.96	
3	19.93	
4	19.91	
5	19.90	
6	19.89	
7	19.86	
8	19.86	
9	19.88	
10	19.87	
11	19.87	
12	19.85	
13	19.85	
14	19.84	
15	19.82	
16	19.81	
17	19.81	
18	19.80	
19	19.79	
20	19.79	
21	19.80	
22	19.81	
23	19.81	
24	19.81	
25	19.81	
26	19.81	
27	19.81	
28	19.81	
29	19.81	
30	19.82	
31	19.81	
32	19.78	
33	19.75	
34	19.73	
35	19.71	
36	19.70	
37	19.68	
38	19.66	
39	19.65	
40	19.64	
41	19.63	
42	19.61	
43	19.60	
44	19.59	
45	19.56	
46	19.55	
47	19.55	
48	19.53	
49	19.52	
50	19.51	
51	19.49	
52	19.49	
53	19.48	
54	19.46	
55	19.45	
56	19.45	
57	19.45	
58	19.44	
59	19.41	
60	19.41	
61	19.41	
62	19.40	
63	19.38	
64	19.37	
65	19.36	
66	19.36	
67	19.36	
68	19.34	
69	19.32	
70	19.32	
71	19.31	
72	19.31	
73	19.30	
74	19.29	
75	19.28	
76	19.28	
77	19.26	
78	19.26	
79	19.26	
80	19.25	
81	19.25	
82	19.24	
83	19.22	
84	19.22	
85	19.21	
86	19.21	
87	19.21	
88	19.19	
89	19.19	
90	19.18	
91	19.18	
92	19.18	
93	19.16	
94	19.16	
95	19.16	
96	19.15	
97	19.14	
98	19.14	
99	19.12	
100	19.12	
101	19.11	
102	19.10	
103	19.09	
104	19.09	
105	19.09	
106	19.09	
107	19.08	
108	19.08	
109	19.08	
110	19.09	
111	19.08	
112	19.08	
113	19.06	
114	19.07	
115	19.06	
116	19.06	
117	19.06	
118	19.06	
119	19.06	
120	19.06	
121	19.05	
122	19.05	
123	19.05	
124	19.05	
125	19.05	
126	19.05	
127	19.05	
128	19.04	
129	19.04	
130	19.04	
131	19.04	
132	19.02	
133	19.02	
134	19.02	
135	19.02	
136	19.02	
137	19.02	
138	19.02	
139	19.02	
140	19.02	
141	19.01	
142	19.01	
143	19.01	
144	19.00	
145	19.01	
146	19.01	
147	19.00	
148	19.00	
149	19.00	
150	18.99	
151	19.00	
152	18.99	
153	18.99	
154	18.99	
155	18.99	
156	18.98	
157	18.98	
158	18.97	
159	18.97	
160	18.97	
161	18.97	
162	18.97	
163	18.97	
164	18.97	
165	18.97	
166	18.96	
167	18.96	
168	18.96	
169	18.96	
170	18.95	
171	18.95	
172	18.94	
173	18.95	
174	18.95	
175	18.94	
176	18.95	
177	18.94	
178	18.93	
179	18.93	
180	18.93	
