Vernier Format 2
stanice3.txt 5/13/2018 7:29:45
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%	

0	20.07	
1	20.08	
2	20.09	
3	20.08	
4	20.09	
5	20.10	
6	20.12	
7	20.12	
8	20.14	
9	20.16	
10	20.18	
11	20.18	
12	20.19	
13	20.18	
14	20.14	
15	20.12	
16	20.12	
17	20.12	
18	20.11	
19	20.09	
20	20.10	
21	20.11	
22	20.12	
23	20.12	
24	20.12	
25	20.12	
26	20.10	
27	20.09	
28	20.09	
29	20.08	
30	20.09	
31	20.07	
32	20.05	
33	20.00	
34	19.97	
35	19.94	
36	19.91	
37	19.88	
38	19.86	
39	19.84	
40	19.82	
41	19.79	
42	19.78	
43	19.77	
44	19.75	
45	19.73	
46	19.72	
47	19.69	
48	19.68	
49	19.67	
50	19.65	
51	19.64	
52	19.63	
53	19.62	
54	19.60	
55	19.59	
56	19.57	
57	19.55	
58	19.55	
59	19.54	
60	19.52	
61	19.51	
62	19.50	
63	19.49	
64	19.47	
65	19.47	
66	19.46	
67	19.46	
68	19.44	
69	19.44	
70	19.43	
71	19.42	
72	19.41	
73	19.40	
74	19.40	
75	19.40	
76	19.39	
77	19.39	
78	19.37	
79	19.37	
80	19.35	
81	19.36	
82	19.35	
83	19.35	
84	19.34	
85	19.34	
86	19.33	
87	19.33	
88	19.32	
89	19.31	
90	19.30	
91	19.31	
92	19.30	
93	19.29	
94	19.28	
95	19.27	
96	19.27	
97	19.27	
98	19.27	
99	19.26	
100	19.26	
101	19.25	
102	19.24	
103	19.24	
104	19.24	
105	19.23	
106	19.23	
107	19.22	
108	19.22	
109	19.21	
110	19.20	
111	19.20	
112	19.20	
113	19.20	
114	19.20	
115	19.20	
116	19.20	
117	19.19	
118	19.19	
119	19.19	
120	19.19	
121	19.18	
122	19.18	
123	19.17	
124	19.18	
125	19.17	
126	19.17	
127	19.17	
128	19.16	
129	19.17	
130	19.16	
131	19.17	
132	19.17	
133	19.15	
134	19.16	
135	19.16	
136	19.16	
137	19.16	
138	19.16	
139	19.15	
140	19.16	
141	19.16	
142	19.15	
143	19.15	
144	19.15	
145	19.15	
146	19.16	
147	19.16	
148	19.16	
149	19.16	
150	19.16	
151	19.17	
152	19.15	
153	19.15	
154	19.15	
155	19.15	
156	19.15	
157	19.15	
158	19.16	
159	19.15	
160	19.15	
161	19.15	
162	19.15	
163	19.15	
164	19.15	
165	19.15	
166	19.15	
167	19.15	
168	19.15	
169	19.15	
170	19.15	
171	19.15	
172	19.15	
173	19.14	
174	19.15	
175	19.15	
176	19.14	
177	19.15	
178	19.13	
179	19.13	
180	19.12	
